Type;AuthorName;AlbumName;SongName;Analizzata;Confusionaria;Discreta;Buona;Recomended;Loreto;Soft;Vivace;MoltoVivace;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Undefined;Avoid;SongSize
Stranieri;John Denver;Greatest Hits;Annies song (previously unrele;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;4367835
Stranieri;John Denver;Greatest Hits;Annies song;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;4369050
Stranieri;John Denver;Greatest Hits;Back home again;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;6878067
Stranieri;John Denver;Greatest Hits;Calypso (previously unreleased;A;_;_;x;x;x;_;x;_;_;x;_;_;_;_;_;_;_;_;5221099
Stranieri;John Denver;Greatest Hits;Calypso;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5544630
Stranieri;John Denver;Greatest Hits;Farewell andromeda (welcome to;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;5881891
Stranieri;John Denver;Greatest Hits;Fly away;A;_;_;x;x;x;x;x;_;x;x;_;_;_;_;_;_;_;_;6047360
Stranieri;John Denver;Greatest Hits;Follow Me;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4414094
Stranieri;John Denver;Greatest Hits;For Baby (For Bobbie);_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4464273
Stranieri;John Denver;Greatest Hits;Goodbye Again;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5467359
Stranieri;John Denver;Greatest Hits;Im sorry;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;5125760
Stranieri;John Denver;Greatest Hits;Leaving on A Jet Plane (Babe I;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3097088
Stranieri;John Denver;Greatest Hits;Leaving on a jet plane;A;_;_;x;x;x;x;x;_;x;x;_;_;_;_;_;_;_;_;5275625
Stranieri;John Denver;Greatest Hits;Like a sad song;A;_;_;x;_;_;x;_;_;x;x;_;_;_;_;_;_;_;_;5397865
Stranieri;John Denver;Greatest Hits;Looking for space;A;_;_;x;x;x;_;x;_;_;x;_;_;_;_;_;_;_;_;5795975
Stranieri;John Denver;Greatest Hits;My sweet lady;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;6392186
Stranieri;John Denver;Greatest Hits;Poems prayers and promises;A;_;_;x;x;x;x;_;_;x;x;_;_;_;_;_;_;_;_;5948339
Stranieri;John Denver;Greatest Hits;Poems, Prayers and Promises;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6874238
Stranieri;John Denver;Greatest Hits;Rhymes and Reasons;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4891212
Stranieri;John Denver;Greatest Hits;Rocky mountain high;A;_;_;x;x;x;x;_;_;.;x;_;_;_;_;_;_;_;_;6866790
Stranieri;John Denver;Greatest Hits;Shanghai breezes;A;_;_;x;_;x;_;x;_;_;x;_;_;_;_;_;_;_;_;4688800
Stranieri;John Denver;Greatest Hits;Starwood in Aspen;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4849205
Stranieri;John Denver;Greatest Hits;Sunshine on my shoulders;A;_;_;x;_;_;x;_;_;_;x;_;_;_;_;_;_;_;_;7520697
Stranieri;John Denver;Greatest Hits;Sweet surrender;A;_;_;x;_;x;_;x;_;_;x;_;_;_;_;_;_;_;_;7961418
Stranieri;John Denver;Greatest Hits;Take Me Home Country Roads;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;5349640
Stranieri;John Denver;Greatest Hits;Take Me Home, Country Roads;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;4804085
Stranieri;John Denver;Greatest Hits;Take me home country roads;A;_;_;x;x;x;x;x;_;_;x;_;_;_;_;_;_;_;_;4622363
Stranieri;John Denver;Greatest Hits;Thank god im a country boy;A;_;_;x;_;x;_;x;_;_;x;_;_;_;_;_;_;_;_;4874393
Stranieri;John Denver;Greatest Hits;The Weight (Previously Unrelea;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6114946
Stranieri;John Denver;Greatest Hits;The Eagle and the Hawk;A;_;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;3097640
Stranieri;John Denver;Greatest Hits;The weight (previously unrelea;A;x;.;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;6516981
Stranieri;John Denver;Greatest Hits;Wild montanna skies feat. emmy;A;_;x;_;_;_;_;_;_;_;x;_;_;_;_;_;_;_;_;5893804
