['Type', 'Author Name', 'Album Name', 'Song Name', 'Punteggio', 'Analizzata', 'Recomended', 'Loreto', 'Buona', 'Soft', 'Vivace', 'Molto Viv', 'Camera', 'Car', 'Lenta', 'Country', 'Strumentale', 'Classica', 'Lirica', 'Live', 'Discreta', 'Undefined', 'Avoid it', 'Confusionaria', 'Song Size']
['@', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Bambini', "Canzoni sotto l'albero", 'Varie', 'Alla scoperta di Babbo NATALE', 384, 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3010560]
['Bambini', "Canzoni sotto l'albero", 'Varie', 'Ci vuole un fiore come e perc', 384, 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3514368]
['ciao', "Canzoni sotto l'albero", 'Varie', 'Ci vuole un fiore come e perc', 384, 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3514368]
['ciao', "Canzoni sotto l'albero", 'Varie2', 'song e perc', 384, 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3514368]
['Italiani', 'De Andrè Fabrizio', 'Canzoni', "Giovanna d'Arco     ", 384, 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 4599808]
['Italiani', 'De Andrè Fabrizio', 'Canzoni', 'Le passanti         ', 896, 'x', 'M', 'x', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3670016]
['Italiani', 'De Andrè Fabrizio', 'Canzoni', 'Morire per delle idee', 896, 'x', 'M', 'L', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 4203511]
['Italiani', 'De Andrè Fabrizio', 'Canzoni', 'Via della povertà   ', 896, 'x', 'M', 'L', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 9183232]
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Stranieri', 'Mark Knopfler', 'Wag the Dog', 'An American Hero    ', 897, 'x', 'x', 'x', 'B', 'S', '.', '.', '.', '.', '.', '.', 'x', '.', '.', '.', '.', '.', '.', '.', 1994752]
['Stranieri', 'Mark Knopfler', 'Wag the Dog', 'Wére Going To War   ', 897, 'x', 'x', 'x', 'B', 'S', '.', '.', '.', '.', '.', '.', 'x', '.', '.', '.', '.', '.', '.', '.', 3809280]
